letter,octave,velocity,time_on,time_off,duration,note_number
A,2,94,51720,51840,120,33
D,3,88,51840,52214,374,38
A,2,87,52200,52252,52,33
A,2,89,52320,52600,280,33
A,2,71,52680,52748,68,33
C,3,92,52800,53106,306,36
C,3,90,53160,53208,48,36
G,3,92,53280,53586,306,43
G,3,90,53640,53688,48,43
G,3,86,53760,54074,314,43
G,3,88,54120,54174,54,43
G,3,76,54240,54608,368,43
D,3,82,54600,54720,120,38
C,3,86,54720,55026,306,36
C,3,92,55080,55124,44,36
C,3,82,55200,55560,360,36
G,3,79,55560,55672,112,43
A#,2,93,55680,56062,382,34
F,3,83,56040,56184,144,41
A#,3,84,56160,56452,292,46
A#,3,76,56520,56602,82,46
F,3,72,56580,56640,60,41
C,3,93,56640,57022,382,36
G,3,83,57000,57144,144,43
C,4,84,57120,57412,292,48
C,4,76,57480,57562,82,48
G,3,72,57540,57600,60,43
A#,2,83,57600,57964,364,34
F,3,90,57960,58022,62,41
F,3,80,58080,58394,314,41
F,3,94,58440,58560,120,41
C,3,93,58560,58942,382,36
G,3,83,58920,59064,144,43
C,4,84,59040,59332,292,48
C,4,76,59400,59482,82,48
G,3,72,59460,59520,60,43
C,3,77,59520,59888,368,36
G,3,86,59880,59976,96,43
C,3,77,60000,60374,374,36
G,3,80,60360,60458,98,43
C,3,86,60480,60542,62,36
C,3,97,60600,60708,108,36
G,3,92,60720,60942,222,43
C,3,88,60960,61440,480,36
E,3,50,1920,1970,50,40
B,2,50,1920,1970,50,35
E,3,40,1980,2030,50,40
E,3,50,2040,2090,50,40
E,3,40,2100,2150,50,40
E,3,70,2160,2210,50,40
F#,3,50,2160,2210,50,42
D,3,40,2160,2210,50,38
E,3,40,2220,2270,50,40
E,3,50,2280,2330,50,40
F#,3,50,2280,2330,50,42
B,2,40,2280,2330,50,35
E,3,40,2340,2390,50,40
E,3,50,2400,2450,50,40
F#,3,50,2400,2450,50,42
B,2,50,2400,2450,50,35
E,3,40,2460,2510,50,40
E,3,50,2520,2570,50,40
F#,3,50,2520,2570,50,42
E,3,40,2580,2630,50,40
E,3,70,2640,2690,50,40
A#,5,50,2640,2690,50,70
C#,3,60,2640,2690,50,37
F#,3,50,2640,2690,50,42
D,3,40,2640,2690,50,38
E,3,40,2700,2750,50,40
E,3,50,2760,2810,50,40
F#,3,50,2760,2810,50,42
E,3,40,2820,2870,50,40
E,3,50,2880,2930,50,40
B,2,50,2880,2930,50,35
E,3,40,2940,2990,50,40
E,3,50,3000,3050,50,40
F#,3,50,3000,3050,50,42
E,3,40,3060,3110,50,40
E,3,70,3120,3170,50,40
A#,5,50,3120,3170,50,70
C#,3,60,3120,3170,50,37
F#,3,50,3120,3170,50,42
D,3,40,3120,3170,50,38
E,3,40,3180,3230,50,40
E,3,50,3240,3290,50,40
F#,3,50,3240,3290,50,42
B,2,40,3240,3290,50,35
E,3,40,3300,3350,50,40
E,3,50,3360,3410,50,40
F#,3,50,3360,3410,50,42
B,2,50,3360,3410,50,35
E,3,40,3420,3470,50,40
E,3,50,3480,3530,50,40
F#,3,50,3480,3530,50,42
E,3,40,3540,3590,50,40
E,3,70,3600,3650,50,40
A#,5,50,3600,3650,50,70
C#,3,60,3600,3650,50,37
F#,3,50,3600,3650,50,42
D,3,40,3600,3650,50,38
E,3,40,3660,3710,50,40
E,3,50,3720,3770,50,40
F#,3,50,3720,3770,50,42
E,3,40,3780,3830,50,40
E,3,50,3840,3890,50,40
B,2,50,3840,3890,50,35
E,3,40,3900,3950,50,40
E,3,50,3960,4010,50,40
F#,3,50,3960,4010,50,42
E,3,40,4020,4070,50,40
E,3,70,4080,4130,50,40
A#,5,50,4080,4130,50,70
C#,3,60,4080,4130,50,37
F#,3,50,4080,4130,50,42
D,3,40,4080,4130,50,38
E,3,40,4140,4190,50,40
E,3,50,4200,4250,50,40
F#,3,50,4200,4250,50,42
B,2,40,4200,4250,50,35
E,3,40,4260,4310,50,40
E,3,50,4320,4370,50,40
F#,3,50,4320,4370,50,42
B,2,50,4320,4370,50,35
E,3,40,4380,4430,50,40
E,3,50,4440,4490,50,40
F#,3,50,4440,4490,50,42
E,3,40,4500,4550,50,40
E,3,70,4560,4610,50,40
A#,5,50,4560,4610,50,70
C#,3,60,4560,4610,50,37
F#,3,50,4560,4610,50,42
D,3,40,4560,4610,50,38
E,3,40,4620,4670,50,40
E,3,50,4680,4730,50,40
F#,3,50,4680,4730,50,42
E,3,40,4740,4790,50,40
E,3,50,4800,4850,50,40
B,2,50,4800,4850,50,35
E,3,40,4860,4910,50,40
E,3,50,4920,4970,50,40
F#,3,50,4920,4970,50,42
E,3,40,4980,5030,50,40
E,3,70,5040,5090,50,40
A#,5,50,5040,5090,50,70
C#,3,60,5040,5090,50,37
F#,3,50,5040,5090,50,42
D,3,40,5040,5090,50,38
E,3,40,5100,5150,50,40
E,3,50,5160,5210,50,40
F#,3,50,5160,5210,50,42
B,2,40,5160,5210,50,35
E,3,40,5220,5270,50,40
E,3,50,5280,5330,50,40
F#,3,50,5280,5330,50,42
B,2,50,5280,5330,50,35
E,3,40,5340,5390,50,40
E,3,50,5400,5450,50,40
F#,3,50,5400,5450,50,42
E,3,40,5460,5510,50,40
E,3,70,5520,5570,50,40
A#,5,50,5520,5570,50,70
C#,3,60,5520,5570,50,37
F#,3,50,5520,5570,50,42
D,3,40,5520,5570,50,38
E,3,40,5580,5630,50,40
E,3,50,5640,5690,50,40
F#,3,50,5640,5690,50,42
E,3,40,5700,5750,50,40
E,3,50,5760,5810,50,40
B,2,50,5760,5810,50,35
E,3,40,5820,5870,50,40
E,3,50,5880,5930,50,40
F#,3,50,5880,5930,50,42
E,3,40,5940,5990,50,40
E,3,70,6000,6050,50,40
A#,5,50,6000,6050,50,70
C#,3,60,6000,6050,50,37
F#,3,50,6000,6050,50,42
D,3,40,6000,6050,50,38
E,3,40,6060,6110,50,40
E,3,50,6120,6170,50,40
F#,3,50,6120,6170,50,42
B,2,40,6120,6170,50,35
E,3,40,6180,6230,50,40
E,3,50,6240,6290,50,40
F#,3,50,6240,6290,50,42
B,2,50,6240,6290,50,35
E,3,40,6300,6350,50,40
E,3,50,6360,6410,50,40
F#,3,50,6360,6410,50,42
E,3,40,6420,6470,50,40
E,3,70,6480,6530,50,40
A#,5,50,6480,6530,50,70
C#,3,60,6480,6530,50,37
F#,3,50,6480,6530,50,42
D,3,40,6480,6530,50,38
E,3,40,6540,6590,50,40
E,3,50,6600,6650,50,40
F#,3,50,6600,6650,50,42
E,3,40,6660,6710,50,40
E,3,50,6720,6770,50,40
B,2,50,6720,6770,50,35
E,3,40,6780,6830,50,40
E,3,50,6840,6890,50,40
F#,3,50,6840,6890,50,42
E,3,40,6900,6950,50,40
E,3,70,6960,7010,50,40
A#,5,50,6960,7010,50,70
C#,3,60,6960,7010,50,37
F#,3,50,6960,7010,50,42
D,3,40,6960,7010,50,38
E,3,40,7020,7070,50,40
E,3,50,7080,7130,50,40
F#,3,50,7080,7130,50,42
B,2,40,7080,7130,50,35
E,3,40,7140,7190,50,40
E,3,50,7200,7250,50,40
F#,3,50,7200,7250,50,42
B,2,50,7200,7250,50,35
E,3,40,7260,7310,50,40
E,3,50,7320,7370,50,40
F#,3,50,7320,7370,50,42
E,3,40,7380,7430,50,40
E,3,70,7440,7490,50,40
A#,5,50,7440,7490,50,70
C#,3,60,7440,7490,50,37
F#,3,50,7440,7490,50,42
D,3,40,7440,7490,50,38
E,3,40,7500,7550,50,40
E,3,50,7560,7610,50,40
F#,3,50,7560,7610,50,42
E,3,40,7620,7670,50,40
E,3,50,7680,7730,50,40
B,2,50,7680,7730,50,35
E,3,40,7740,7790,50,40
E,3,50,7800,7850,50,40
F#,3,50,7800,7850,50,42
E,3,40,7860,7910,50,40
E,3,70,7920,7970,50,40
A#,5,50,7920,7970,50,70
C#,3,60,7920,7970,50,37
F#,3,50,7920,7970,50,42
D,3,40,7920,7970,50,38
E,3,40,7980,8030,50,40
E,3,50,8040,8090,50,40
F#,3,50,8040,8090,50,42
B,2,40,8040,8090,50,35
E,3,40,8100,8150,50,40
E,3,50,8160,8210,50,40
F#,3,50,8160,8210,50,42
B,2,50,8160,8210,50,35
E,3,40,8220,8270,50,40
E,3,50,8280,8330,50,40
F#,3,50,8280,8330,50,42
E,3,40,8340,8390,50,40
E,3,70,8400,8450,50,40
A#,5,50,8400,8450,50,70
C#,3,60,8400,8450,50,37
F#,3,50,8400,8450,50,42
D,3,40,8400,8450,50,38
E,3,40,8460,8510,50,40
E,3,50,8520,8570,50,40
F#,3,50,8520,8570,50,42
E,3,40,8580,8630,50,40
E,3,50,8640,8690,50,40
B,2,50,8640,8690,50,35
E,3,40,8700,8750,50,40
E,3,50,8760,8810,50,40
F#,3,50,8760,8810,50,42
E,3,40,8820,8870,50,40
E,3,70,8880,8930,50,40
A#,5,50,8880,8930,50,70
C#,3,60,8880,8930,50,37
F#,3,50,8880,8930,50,42
D,3,40,8880,8930,50,38
E,3,40,8940,8990,50,40
E,3,50,9000,9050,50,40
F#,3,50,9000,9050,50,42
B,2,40,9000,9050,50,35
E,3,40,9060,9110,50,40
E,3,50,9120,9170,50,40
