letter,octave,velocity,time_on,time_off,duration,note_number
D,4,127,40320,40444,124,50
C#,4,127,40440,40572,132,49
G,3,127,40560,40673,113,43
A,3,127,40680,40797,117,45
A,3,127,40920,41024,104,45
A,3,127,41040,41149,109,45
D,4,127,41280,41408,128,50
C#,4,127,41400,41527,127,49
G,3,127,41520,41624,104,43
A,3,127,41640,41758,118,45
A,3,127,41880,41975,95,45
A,3,127,42000,42127,127,45
D,4,127,42240,42375,135,50
C#,4,127,42360,42496,136,49
G,3,127,42480,42583,103,43
A,3,127,42600,42706,106,45
A,3,127,42840,42914,74,45
A,3,127,42960,43081,121,45
F#,3,127,43080,43186,106,42
G,3,127,43200,43317,117,43
B,3,127,43440,43554,114,47
G,3,127,43560,43681,121,43
F#,3,127,44040,44149,109,42
G,3,127,44171,44287,116,43
B,3,127,44400,44514,114,47
G,3,127,44522,44667,145,43
D,4,127,45120,45213,93,50
D,5,127,45360,45480,120,62
A,4,127,45480,45577,97,57
B,4,127,45720,45827,107,59
C,5,127,45840,45957,117,60
B,4,127,45960,46084,124,59
D,4,127,46080,46186,106,50
D,5,127,46320,46441,121,62
A,4,127,46440,46532,92,57
F,5,127,46680,46830,150,65
E,5,127,46800,46926,126,64
D,4,127,47040,47131,91,50
D,5,127,47280,47404,124,62
A,4,127,47400,47503,103,57
B,4,127,47640,47771,131,59
C,5,127,47760,47900,140,60
B,4,127,47880,47998,118,59
D,4,127,48000,48105,105,50
D,4,127,48346,48410,64,50
G,4,127,48593,48656,63,55
A,4,127,48624,48748,124,57
D,5,127,48715,48859,144,62
D,4,127,48960,49072,112,50
D,5,127,49200,49325,125,62
A,4,127,49320,49403,83,57
B,4,127,49560,49646,86,59
C,5,127,49680,49816,136,60
B,4,127,49800,49936,136,59
D,4,127,49920,50042,122,50
D,5,127,50160,50279,119,62
A,4,127,50280,50363,83,57
F,5,127,50520,50660,140,65
E,5,127,50640,50761,121,64
D,4,127,50880,50989,109,50
D,5,127,51120,51232,112,62
A,4,127,51240,51332,92,57
B,4,127,51480,51600,120,59
C,5,127,51600,51763,163,60
B,4,127,51720,51845,125,59
D,4,127,51840,51966,126,50
G,4,127,51960,52119,159,55
A,4,127,52080,52190,110,57
D,5,127,52200,52631,431,62
D,4,127,52800,52925,125,50
C#,4,127,52920,53067,147,49
G,3,127,53040,53163,123,43
A,3,127,53160,53255,95,45
A,3,127,53400,53500,100,45
A,3,127,53520,53638,118,45
D,4,127,53760,53884,124,50
C#,4,127,53880,54012,132,49
G,3,127,54000,54113,113,43
A,3,127,54120,54237,117,45
A,3,127,54360,54464,104,45
A,3,127,54480,54589,109,45
